Selected parameters:
 1 Timeshift
 2 BX, nT (GSE, GSM)
 3 BY, nT (GSE)
 4 BZ, nT (GSE)
 5 Vx Velocity,km/s
 6 Vy Velocity, km/s
 7 Vz Velocity, km/s
 8 Proton Density, n/cc
 9 Proton Temperature, K
10 Flow pressure, nPa
11 AL-index, nT

YYYY DOY HR MN     1       2       3       4       5       6       7      8        9    10    11 
2015  73  1 21   3373   -0.54    5.72    3.47  -359.9   -49.1   -10.7   9.82   25698.  2.59   -16
2015  73  1 22   3369   -0.66    5.73    3.42  -360.4   -47.9   -11.1   9.66   25189.  2.56   -16
2015  73  1 23   3385   -0.94    5.74    3.39  -360.5   -47.7   -11.1   9.62   25070.  2.55   -16
2015  73  1 24   3424   -1.24    5.53    3.80  -358.6   -50.1   -10.5   9.86   22124.  2.59   -15
2015  73  1 25   3457   -1.60    5.45    3.85  -358.6   -50.1   -10.5   9.86   22124.  2.59   -15
2015  73  1 26   3498   -2.03    5.41    3.71 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -16
2015  73  1 27   3532   -2.16    5.40    3.56  -354.4   -49.2   -11.4   8.94   27585.  2.29   -16
2015  73  1 28   3566   -2.02    5.45    3.62  -354.4   -49.2   -11.4   8.94   27585.  2.29   -16
2015  73  1 29   3600   -1.70    5.54    3.62  -354.5   -49.1   -11.0   9.97   26946.  2.56   -15
2015  73  1 30   3628   -1.63    5.68    3.43  -354.5   -49.1   -11.0   9.97   26946.  2.56   -15
2015  73  1 31   3657   -1.46    5.58    3.52  -357.1   -49.8   -10.5   9.46   27310.  2.46   -15
2015  73  1 32   3689   -1.57    5.58    3.59  -357.1   -49.8   -10.5   9.46   27310.  2.46   -15
2015  73  1 33   3724   -1.57    5.50    3.66 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -15
2015  73  1 34   3758   -1.51    5.59    3.54  -357.0   -50.5   -10.9   9.57   26811.  2.49   -15
2015  73  1 35   3798   -1.31    5.74    3.39  -357.0   -50.5   -10.9   9.57   26811.  2.49   -15
2015  73  1 36   3815   -1.65    5.38    3.76  -358.1   -49.0   -11.1   9.38   26983.  2.45   -15
2015  73  1 37   3846   -1.71    5.10    4.07  -357.8   -48.9   -11.6   9.46   27039.  2.47   -15
2015  73  1 38   3784   -1.29    5.37    3.47  -357.7   -47.0   -12.5   9.52   27967.  2.48   -15
2015  73  1 39   3718   -2.06    5.63    3.04  -359.0   -45.8   -12.2   9.64   27657.  2.53   -15
2015  73  1 40   3756   -2.00    5.68    2.98  -354.7   -48.8   -10.6   9.76   26358.  2.50   -15
2015  73  1 41   3789   -1.82    5.48    3.30  -354.7   -48.8   -10.6   9.76   26358.  2.50   -15
2015  73  1 42   3773   -2.81    5.50    1.81  -354.8   -46.2    -6.6   8.98   34960.  2.30   -14
2015  73  1 43   3821   -3.36    5.50    0.89  -355.6   -42.1   -13.4   8.94   37511.  2.30   -15
2015  73  1 44   3797   -3.40    5.51    1.10 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -14
2015  73  1 45   3813   -3.49    5.43    1.01 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -14
2015  73  1 46   3879   -3.68    5.19    1.26  -353.8   -41.6    -5.8   8.41   47001.  2.14   -14
2015  73  1 47   3884   -3.67    5.21    1.38  -353.8   -41.6    -5.8   8.41   47001.  2.14   -14
2015  73  1 48   3895   -3.58    5.32    1.11  -353.9   -42.9    -6.1   8.55   43006.  2.17   -14
2015  73  1 49   3913   -3.48    5.43    0.78  -353.8   -41.8    -6.3   8.65   46252.  2.20   -14
2015  73  1 50   3886   -3.44    5.52    0.47  -353.8   -41.9    -6.2   8.65   46202.  2.20   -14
2015  73  1 51   3871   -3.03    5.78    0.06  -354.7   -43.3    -4.4   8.59   43374.  2.19   -14
2015  73  1 52 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -14
2015  73  1 53   4003   -3.29    5.38    1.33 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -14
2015  73  1 54   4083   -3.41    5.42    1.18  -355.1   -42.4    -4.7   7.79   38934.  1.99   -14
2015  73  1 55   4183   -3.43    5.37    1.03  -355.1   -42.4    -4.7   7.79   38934.  1.99   -14
2015  73  1 56 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -14
2015  73  1 57 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -14
2015  73  1 58 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -15
2015  73  1 59 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -15
2015  73  2  0 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -15
2015  73  2  1 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -15
2015  73  2  2 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -16
2015  73  2  3 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -16
2015  73  2  4 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -14
2015  73  2  5 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -12
2015  73  2  6 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -11
2015  73  2  7 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -11
2015  73  2  8 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -11
2015  73  2  9 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -12
2015  73  2 10 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -13
2015  73  2 11 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -13
2015  73  2 12 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -15
2015  73  2 13 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -16
2015  73  2 14 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -18
2015  73  2 15 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -18
2015  73  2 16 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -18
2015  73  2 17 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -16
2015  73  2 18 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -15
2015  73  2 19 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -15
2015  73  2 20 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -14
2015  73  2 21 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -13
2015  73  2 22 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -12
2015  73  2 23 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -12
2015  73  2 24 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -11
2015  73  2 25 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -10
2015  73  2 26 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -10
2015  73  2 27 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99    -9
2015  73  2 28 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -10
2015  73  2 29 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -18
2015  73  2 30 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -19
2015  73  2 31 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -14
2015  73  2 32 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99    -9
2015  73  2 33 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99    -6
2015  73  2 34 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99    -6
2015  73  2 35 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99    -7
2015  73  2 36 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -10
2015  73  2 37 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -14
2015  73  2 38 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -15
2015  73  2 39 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -17
2015  73  2 40 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -19
2015  73  2 41 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -14
2015  73  2 42 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -11
2015  73  2 43 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -11
2015  73  2 44 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -12
2015  73  2 45 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -11
